day	hour	value
1	24	37
1	23	47
1	22	67
1	21	76
1	20	64
1	19	70
1	18	56
1	17	60
1	16	48
1	15	56
1	14	62
1	13	59
1	12	64
1	11	48
1	10	39
1	9	36
1	8	22
1	7	16
1	6	8
1	5	6
1	4	8
1	3	7
1	2	15
1	1	29
2	24	18
2	23	26
2	22	37
2	21	36
2	20	57
2	19	67
2	18	59
2	17	68
2	16	64
2	15	76
2	14	83
2	13	106
2	12	122
2	11	107
2	10	80
2	9	86
2	8	54
2	7	25
2	6	14
2	5	12
2	4	14
2	3	16
2	2	26
2	1	47
3	24	69
3	23	100
3	22	69
3	21	100
3	20	82
3	19	50
3	18	57
3	17	94
3	16	75
3	15	100
3	14	82
3	13	63
3	12	44
3	11	38
3	10	38
3	9	44
3	8	25
3	7	6
3	6	6
3	5	19
3	4	13
3	3	25
3	2	25
3	1	75
4	24	83
4	23	137
4	22	165
4	21	134
4	20	119
4	19	93
4	18	122
4	17	88
4	16	57
4	15	70
4	14	51
4	13	42
4	12	21
4	11	26
4	10	24
4	9	16
4	8	8
4	7	5
4	6	2
4	5	3
4	4	7
4	3	5
4	2	10
4	1	13
5	24	51
5	23	70
5	22	79
5	21	73
5	20	79
5	19	77
5	18	68
5	17	73
5	16	71
5	15	85
5	14	68
5	13	71
5	12	77
5	11	63
5	10	79
5	9	68
5	8	37
5	7	21
5	6	8
5	5	10
5	4	7
5	3	19
5	2	16
5	1	31
6	24	51
6	23	60
6	22	86
6	21	83
6	20	79
6	19	71
6	18	73
6	17	83
6	16	71
6	15	76
6	14	80
6	13	90
6	12	76
6	11	71
6	10	62
6	9	45
6	8	31
6	7	15
6	6	12
6	5	7
6	4	6
6	3	14
6	2	24
6	1	32
7	24	49
7	23	61
7	22	77
7	21	91
7	20	80
7	19	94
7	18	69
7	17	79
7	16	72
7	15	78
7	14	90
7	13	85
7	12	75
7	11	78
7	10	55
7	9	38
7	8	25
7	7	12
7	6	8
7	5	6
7	4	14
7	3	9
7	2	18
7	1	36